,id,family,genus,species,content,filename,image_height,image_width
0,1,Amaryllidaceae,Narcissus,Narcissus dubius Gouan,Entire,1.jpg,512,800
2,100022,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Entire,100022.jpg,587,800
3,100038,Iridaceae,Iris,Iris lutescens Lam.,Flower,100038.jpg,600,800
5,100110,Amaryllidaceae,Galanthus,Galanthus nivalis L.,Entire,100110.jpg,533,800
7,100133,Asparagaceae,Hyacinthoides,Hyacinthoides non-scripta (L.) Chouard ex Rothm.,Flower,100133.jpg,533,800
9,10019,Orchidaceae,Ophrys,Ophrys apifera Huds.,Flower,10019.jpg,600,800
10,100190,Geraniaceae,Geranium,Geranium sylvaticum L.,Flower,100190.jpg,800,800
11,100201,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze,Flower,100201.jpg,532,800
12,100211,Liliaceae,Tulipa,Tulipa sylvestris L.,Flower,100211.jpg,800,535
13,100273,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Flower,100273.jpg,533,800
16,100303,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze,Flower,100303.jpg,532,800
18,100330,Geraniaceae,Geranium,Geranium pusillum L.,Entire,100330.jpg,625,800
19,100331,Campanulaceae,Campanula,Campanula trachelium L.,Flower,100331.jpg,600,800
20,100333,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Flower,100333.jpg,741,800
21,100334,Rosaceae,Rosa,Rosa canina L.,Flower,100334.jpg,533,800
22,100380,Orchidaceae,Ophrys,Ophrys lutea Cav.,Entire,100380.jpg,800,600
23,100403,Amaryllidaceae,Narcissus,Narcissus dubius Gouan,Entire,100403.jpg,800,460
24,100406,Scrophulariaceae,Verbascum,Verbascum blattaria L.,Flower,100406.jpg,751,800
25,100412,Orchidaceae,Ophrys,Ophrys lutea Cav.,Flower,100412.jpg,800,548
27,100429,Campanulaceae,Campanula,Campanula latifolia L.,Flower,100429.jpg,600,800
28,100451,Campanulaceae,Campanula,Campanula rotundifolia L.,Entire,100451.jpg,531,800
29,10046,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower,10046.jpg,533,800
30,100472,Orchidaceae,Ophrys,Ophrys apifera Huds.,Entire,100472.jpg,800,643
31,100483,Campanulaceae,Campanula,Campanula rapunculus L.,Flower,100483.jpg,800,600
32,100520,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower,100520.jpg,533,800
33,100560,Geraniaceae,Geranium,Geranium rotundifolium L.,Flower,100560.jpg,531,800
34,100576,Asparagaceae,Hyacinthoides,Hyacinthoides non-scripta (L.) Chouard ex Rothm.,Flower,100576.jpg,600,800
38,10063,Orchidaceae,Ophrys,Ophrys apifera Huds.,Flower,10063.jpg,600,800
