,id,family,genus,species,content,filename,image_height,image_width
0,1,Amaryllidaceae,Narcissus,Narcissus dubius Gouan,Entire,1.jpg,512,800
1,100014,Scrophulariaceae,Verbascum,Verbascum pulverulentum Vill.,Leaf,100014.jpg,600,800
2,100022,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Entire,100022.jpg,587,800
3,100038,Iridaceae,Iris,Iris lutescens Lam.,Flower,100038.jpg,600,800
4,100069,Rosaceae,Crataegus,Crataegus azarolus L.,Stem,100069.jpg,800,533
5,100110,Amaryllidaceae,Galanthus,Galanthus nivalis L.,Entire,100110.jpg,533,800
6,100120,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Fruit,100120.jpg,533,800
7,100133,Asparagaceae,Hyacinthoides,Hyacinthoides non-scripta (L.) Chouard ex Rothm.,Flower,100133.jpg,533,800
8,100134,Campanulaceae,Campanula,Campanula rhomboidalis L.,Leaf,100134.jpg,533,800
9,10019,Orchidaceae,Ophrys,Ophrys apifera Huds.,Flower,10019.jpg,600,800
10,100190,Geraniaceae,Geranium,Geranium sylvaticum L.,Flower,100190.jpg,800,800
11,100201,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze,Flower,100201.jpg,532,800
12,100211,Liliaceae,Tulipa,Tulipa sylvestris L.,Flower,100211.jpg,800,535
13,100273,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Flower,100273.jpg,533,800
14,100278,Geraniaceae,Geranium,Geranium sanguineum L.,Branch,100278.jpg,518,800
15,100292,Rosaceae,Rosa,Rosa agrestis Savi,Stem,100292.jpg,533,800
16,100303,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze,Flower,100303.jpg,532,800
17,100312,Geraniaceae,Geranium,Geranium robertianum L.,Leaf,100312.jpg,800,600
18,100330,Geraniaceae,Geranium,Geranium pusillum L.,Entire,100330.jpg,625,800
19,100331,Campanulaceae,Campanula,Campanula trachelium L.,Flower,100331.jpg,600,800
20,100333,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Flower,100333.jpg,741,800
21,100334,Rosaceae,Rosa,Rosa canina L.,Flower,100334.jpg,533,800
22,100380,Orchidaceae,Ophrys,Ophrys lutea Cav.,Entire,100380.jpg,800,600
23,100403,Amaryllidaceae,Narcissus,Narcissus dubius Gouan,Entire,100403.jpg,800,460
24,100406,Scrophulariaceae,Verbascum,Verbascum blattaria L.,Flower,100406.jpg,751,800
25,100412,Orchidaceae,Ophrys,Ophrys lutea Cav.,Flower,100412.jpg,800,548
26,100415,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze,Fruit,100415.jpg,600,800
27,100429,Campanulaceae,Campanula,Campanula latifolia L.,Flower,100429.jpg,600,800
28,100451,Campanulaceae,Campanula,Campanula rotundifolia L.,Entire,100451.jpg,531,800
29,10046,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower,10046.jpg,533,800
30,100472,Orchidaceae,Ophrys,Ophrys apifera Huds.,Entire,100472.jpg,800,643
31,100483,Campanulaceae,Campanula,Campanula rapunculus L.,Flower,100483.jpg,800,600
32,100520,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower,100520.jpg,533,800
33,100560,Geraniaceae,Geranium,Geranium rotundifolium L.,Flower,100560.jpg,531,800
34,100576,Asparagaceae,Hyacinthoides,Hyacinthoides non-scripta (L.) Chouard ex Rothm.,Flower,100576.jpg,600,800
35,100581,Geraniaceae,Geranium,Geranium molle L.,Branch,100581.jpg,800,600
36,100598,Rosaceae,Crataegus,Crataegus monogyna Jacq.,LeafScan,100598.jpg,800,508
37,100601,Geraniaceae,Geranium,Geranium robertianum L.,Fruit,100601.jpg,800,773
38,10063,Orchidaceae,Ophrys,Ophrys apifera Huds.,Flower,10063.jpg,600,800
39,100631,Orchidaceae,Ophrys,Ophrys fuciflora (F.W.Schmidt) Moench,Flower,100631.jpg,800,624
40,100643,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Flower,100643.jpg,531,800
41,10065,Scrophulariaceae,Verbascum,Verbascum blattaria L.,Flower,10065.jpg,600,800
42,100676,Campanulaceae,Campanula,Campanula rapunculus L.,Flower,100676.jpg,664,800
43,100679,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour,Entire,100679.jpg,800,600
44,100696,Geraniaceae,Geranium,Geranium rotundifolium L.,Leaf,100696.jpg,656,800
45,100697,Rosaceae,Crataegus,Crataegus monogyna Jacq.,LeafScan,100697.jpg,800,533
46,100700,Orchidaceae,Ophrys,Ophrys scolopax Cav.,Entire,100700.jpg,800,600
47,100704,Scrophulariaceae,Verbascum,Verbascum lychnitis L.,Flower,100704.jpg,548,800
48,10078,Orchidaceae,Ophrys,Ophrys insectifera L.,Flower,10078.jpg,800,599
49,100786,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower,100786.jpg,533,800
50,100815,Geraniaceae,Geranium,Geranium pratense L.,Flower,100815.jpg,800,800
51,100818,Campanulaceae,Campanula,Campanula scheuchzeri Vill.,Branch,100818.jpg,800,800
52,100824,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Fruit,100824.jpg,600,800
53,100850,Rosaceae,Crataegus,Crataegus azarolus L.,Fruit,100850.jpg,599,800
54,100869,Asparagaceae,Hyacinthoides,Hyacinthoides non-scripta (L.) Chouard ex Rothm.,Entire,100869.jpg,532,800
55,100874,Geraniaceae,Geranium,Geranium nodosum L.,Flower,100874.jpg,587,800
