,id,family,genus,species,content
0,100005,Lamiaceae,Ajuga,Ajuga reptans L.,Flower
1,100038,Iridaceae,Iris,Iris lutescens Lam.,Flower
2,100144,Malvaceae,Malva,Malva sylvestris L.,Flower
3,10019,Orchidaceae,Ophrys,Ophrys apifera Huds.,Flower
4,100190,Geraniaceae,Geranium,Geranium sylvaticum L.,Flower
5,100201,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze,Flower
6,100229,Fabaceae,Trifolium,Trifolium alpinum L.,Flower
7,100255,Violaceae,Viola,Viola odorata L.,Flower
8,100273,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Flower
9,100303,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze,Flower
10,100331,Campanulaceae,Campanula,Campanula trachelium L.,Flower
11,100333,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Flower
12,100334,Rosaceae,Rosa,Rosa canina L.,Flower
13,100375,Violaceae,Viola,Viola arvensis Murray,Flower
14,100382,Plantaginaceae,Veronica,Veronica cymbalaria Bodard,Flower
15,100406,Scrophulariaceae,Verbascum,Verbascum blattaria L.,Flower
16,100412,Orchidaceae,Ophrys,Ophrys lutea Cav.,Flower
17,100429,Campanulaceae,Campanula,Campanula latifolia L.,Flower
18,100446,Gentianaceae,Gentiana,Gentiana lutea L.,Flower
19,10046,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower
20,100483,Campanulaceae,Campanula,Campanula rapunculus L.,Flower
21,100505,Gentianaceae,Gentiana,Gentiana nivalis L.,Flower
22,100520,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower
23,100549,Gentianaceae,Gentiana,Gentiana purpurea L.,Flower
24,100560,Geraniaceae,Geranium,Geranium rotundifolium L.,Flower
25,10063,Orchidaceae,Ophrys,Ophrys apifera Huds.,Flower
26,100631,Orchidaceae,Ophrys,Ophrys fuciflora (F.W.Schmidt) Moench,Flower
27,100643,Scrophulariaceae,Verbascum,Verbascum thapsus L.,Flower
28,10065,Scrophulariaceae,Verbascum,Verbascum blattaria L.,Flower
29,100676,Campanulaceae,Campanula,Campanula rapunculus L.,Flower
30,100704,Scrophulariaceae,Verbascum,Verbascum lychnitis L.,Flower
31,100722,Lamiaceae,Ajuga,Ajuga genevensis L.,Flower
32,10078,Orchidaceae,Ophrys,Ophrys insectifera L.,Flower
33,100786,Rosaceae,Crataegus,Crataegus monogyna Jacq.,Flower
34,100815,Geraniaceae,Geranium,Geranium pratense L.,Flower
35,100842,Plantaginaceae,Veronica,Veronica persica Poir.,Flower
36,100845,Asteraceae,Cirsium,Cirsium acaulon (L.) Scop.,Flower
37,100874,Geraniaceae,Geranium,Geranium nodosum L.,Flower
38,100902,Geraniaceae,Geranium,Geranium robertianum L.,Flower
39,100906,Orchidaceae,Ophrys,Ophrys apifera Huds.,Flower
40,100931,Amaryllidaceae,Narcissus,Narcissus pseudonarcissus L.,Flower
41,100991,Fabaceae,Trifolium,Trifolium scabrum L.,Flower
42,101,Gentianaceae,Gentiana,Gentiana lutea L.,Flower
43,101011,Violaceae,Viola,Viola riviniana Rchb.,Flower
44,10105,Rosaceae,Rosa,Rosa canina L.,Flower
45,101116,Violaceae,Viola,Viola odorata L.,Flower
46,10121,Asteraceae,Cirsium,Cirsium eriophorum (L.) Scop.,Flower
47,101280,Rosaceae,Rosa,Rosa canina L.,Flower
