,id,family,genus,species
0,1,Amaryllidaceae,Narcissus,Narcissus dubius Gouan
1,100014,Scrophulariaceae,Verbascum,Verbascum pulverulentum Vill.
2,100022,Orchidaceae,Ophrys,Ophrys scolopax Cav.
3,100038,Iridaceae,Iris,Iris lutescens Lam.
4,100069,Rosaceae,Crataegus,Crataegus azarolus L.
5,100110,Amaryllidaceae,Galanthus,Galanthus nivalis L.
6,100120,Scrophulariaceae,Verbascum,Verbascum thapsus L.
7,100133,Asparagaceae,Hyacinthoides,Hyacinthoides non-scripta (L.) Chouard ex Rothm.
8,100134,Campanulaceae,Campanula,Campanula rhomboidalis L.
9,10019,Orchidaceae,Ophrys,Ophrys apifera Huds.
10,100190,Geraniaceae,Geranium,Geranium sylvaticum L.
11,100201,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze
12,100211,Liliaceae,Tulipa,Tulipa sylvestris L.
13,100273,Scrophulariaceae,Verbascum,Verbascum thapsus L.
14,100278,Geraniaceae,Geranium,Geranium sanguineum L.
15,100292,Rosaceae,Rosa,Rosa agrestis Savi
16,100303,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze
17,100312,Geraniaceae,Geranium,Geranium robertianum L.
18,100330,Geraniaceae,Geranium,Geranium pusillum L.
19,100331,Campanulaceae,Campanula,Campanula trachelium L.
20,100333,Scrophulariaceae,Verbascum,Verbascum thapsus L.
21,100334,Rosaceae,Rosa,Rosa canina L.
22,100380,Orchidaceae,Ophrys,Ophrys lutea Cav.
23,100403,Amaryllidaceae,Narcissus,Narcissus dubius Gouan
24,100406,Scrophulariaceae,Verbascum,Verbascum blattaria L.
25,100412,Orchidaceae,Ophrys,Ophrys lutea Cav.
26,100415,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze
27,100429,Campanulaceae,Campanula,Campanula latifolia L.
28,100451,Campanulaceae,Campanula,Campanula rotundifolia L.
29,10046,Rosaceae,Crataegus,Crataegus monogyna Jacq.
30,100472,Orchidaceae,Ophrys,Ophrys apifera Huds.
31,100483,Campanulaceae,Campanula,Campanula rapunculus L.
32,100520,Rosaceae,Crataegus,Crataegus monogyna Jacq.
33,100560,Geraniaceae,Geranium,Geranium rotundifolium L.
34,100576,Asparagaceae,Hyacinthoides,Hyacinthoides non-scripta (L.) Chouard ex Rothm.
35,100581,Geraniaceae,Geranium,Geranium molle L.
36,100598,Rosaceae,Crataegus,Crataegus monogyna Jacq.
37,100601,Geraniaceae,Geranium,Geranium robertianum L.
38,10063,Orchidaceae,Ophrys,Ophrys apifera Huds.
39,100631,Orchidaceae,Ophrys,Ophrys fuciflora (F.W.Schmidt) Moench
40,100643,Scrophulariaceae,Verbascum,Verbascum thapsus L.
41,10065,Scrophulariaceae,Verbascum,Verbascum blattaria L.
42,100676,Campanulaceae,Campanula,Campanula rapunculus L.
43,100679,Amaryllidaceae,Narcissus,Narcissus assoanus Dufour
44,100696,Geraniaceae,Geranium,Geranium rotundifolium L.
45,100697,Rosaceae,Crataegus,Crataegus monogyna Jacq.
46,100700,Orchidaceae,Ophrys,Ophrys scolopax Cav.
47,100704,Scrophulariaceae,Verbascum,Verbascum lychnitis L.
48,10078,Orchidaceae,Ophrys,Ophrys insectifera L.
49,100786,Rosaceae,Crataegus,Crataegus monogyna Jacq.
50,100815,Geraniaceae,Geranium,Geranium pratense L.
51,100818,Campanulaceae,Campanula,Campanula scheuchzeri Vill.
52,100824,Rosaceae,Crataegus,Crataegus monogyna Jacq.
53,100850,Rosaceae,Crataegus,Crataegus azarolus L.
54,100869,Asparagaceae,Hyacinthoides,Hyacinthoides non-scripta (L.) Chouard ex Rothm.
55,100874,Geraniaceae,Geranium,Geranium nodosum L.
56,100902,Geraniaceae,Geranium,Geranium robertianum L.
57,100906,Orchidaceae,Ophrys,Ophrys apifera Huds.
58,100921,Campanulaceae,Campanula,Campanula scheuchzeri Vill.
59,100931,Amaryllidaceae,Narcissus,Narcissus pseudonarcissus L.
60,100934,Geraniaceae,Geranium,Geranium pratense L.
61,100945,Oleaceae,Jasminum,Jasminum fruticans L.
62,100964,Amaryllidaceae,Galanthus,Galanthus nivalis L.
63,101044,Rosaceae,Rosa,Rosa pendulina L.
64,101048,Geraniaceae,Geranium,Geranium columbinum L.
65,10105,Rosaceae,Rosa,Rosa canina L.
66,10109,Rosaceae,Rosa,Rosa canina L.
67,101092,Campanulaceae,Campanula,Campanula rotundifolia L.
68,101143,Ericaceae,Rhododendron,Rhododendron ferrugineum L.
69,101160,Scrophulariaceae,Verbascum,Verbascum nigrum L.
70,101244,Hydrangeaceae,Hydrangea,Hydrangea macrophylla (Thunb.) Ser.
71,101275,Hydrangeaceae,Hydrangea,Hydrangea macrophylla (Thunb.) Ser.
72,101280,Rosaceae,Rosa,Rosa canina L.
73,101343,Geraniaceae,Geranium,Geranium rotundifolium L.
74,101360,Orchidaceae,Ophrys,Ophrys lupercalis Devillers & Devillers-Tersch.
75,101363,Campanulaceae,Campanula,Campanula scheuchzeri Vill.
76,101365,Rosaceae,Crataegus,Crataegus monogyna Jacq.
77,101389,Rosaceae,Rosa,Rosa pendulina L.
78,10139,Iridaceae,Iris,Iris pseudacorus L.
79,101393,Iridaceae,Iris,Iris lutescens Lam.
80,101405,Orchidaceae,Ophrys,Ophrys insectifera L.
81,101420,Orchidaceae,Ophrys,Ophrys lutea Cav.
82,101438,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze
83,101448,Rosaceae,Rosa,Rosa canina L.
84,10147,Campanulaceae,Campanula,Campanula patula L.
85,101490,Rosaceae,Crataegus,Crataegus azarolus L.
86,101503,Orchidaceae,Ophrys,Ophrys aranifera Huds.
87,101514,Orchidaceae,Ophrys,Ophrys lupercalis Devillers & Devillers-Tersch.
88,101516,Rosaceae,Rosa,Rosa agrestis Savi
89,10152,Rosaceae,Crataegus,Crataegus azarolus L.
90,101521,Geraniaceae,Geranium,Geranium robertianum L.
91,101523,Rosaceae,Crataegus,Crataegus laevigata (Poir.) DC.
92,101544,Scrophulariaceae,Verbascum,Verbascum pulverulentum Vill.
93,10155,Geraniaceae,Geranium,Geranium molle L.
94,101565,Geraniaceae,Geranium,Geranium robertianum L.
95,101593,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze
96,101594,Scrophulariaceae,Verbascum,Verbascum sinuatum L.
97,101617,Campanulaceae,Campanula,Campanula trachelium L.
98,101638,Campanulaceae,Campanula,Campanula glomerata L.
99,101663,Rosaceae,Crataegus,Crataegus germanica (L.) Kuntze
100,101678,Scrophulariaceae,Verbascum,Verbascum blattaria L.
101,101718,Amaryllidaceae,Narcissus,Narcissus dubius Gouan
102,101725,Campanulaceae,Campanula,Campanula scheuchzeri Vill.
103,101739,Geraniaceae,Geranium,Geranium pratense L.
104,101749,Geraniaceae,Geranium,Geranium molle L.
105,101750,Geraniaceae,Geranium,Geranium nodosum L.
106,101777,Geraniaceae,Geranium,Geranium sylvaticum L.
107,101778,Oleaceae,Jasminum,Jasminum fruticans L.
108,101794,Rosaceae,Rosa,Rosa canina L.
